date,order_book_id,factor,date
2013-01-31,600988.XSHG,0.459086504,sh.600988
2013-01-31,000068.XSHE,0.395491437,sz.000068
2013-01-31,601166.XSHG,0.393679788,sh.601166
2013-01-31,002318.XSHE,0.388604404,sz.002318
2013-01-31,002605.XSHE,0.378930769,sz.002605
2013-01-31,300215.XSHE,0.368655331,sz.300215
2013-01-31,000001.XSHE,0.364520931,sz.000001
2013-01-31,000651.XSHE,0.363703529,sz.000651
2013-01-31,000018.XSHE,0.362014727,sz.000018
2013-01-31,300346.XSHE,0.358652125,sz.300346
2013-01-31,002478.XSHE,0.357254752,sz.002478
2013-01-31,600385.XSHG,0.357095331,sh.600385
2013-01-31,002571.XSHE,0.355217786,sz.002571
2013-01-31,002353.XSHE,0.353731651,sz.002353
2013-01-31,600000.XSHG,0.343081455,sh.600000
2013-01-31,002572.XSHE,0.342955553,sz.002572
2013-01-31,000585.XSHE,0.341838666,sz.000585
2013-01-31,600705.XSHG,0.332922357,sh.600705
2013-01-31,001914.XSHE,0.33082198,sz.001914
2013-01-31,601633.XSHG,0.328628576,sh.601633
2013-01-31,300240.XSHE,0.327044181,sz.300240
2013-01-31,300058.XSHE,0.3251348,sz.300058
2013-01-31,600519.XSHG,0.32512842,sh.600519
2013-01-31,600315.XSHG,0.325110584,sh.600315
2013-01-31,000581.XSHE,0.323997676,sz.000581
2013-01-31,600556.XSHG,0.323229538,sh.600556
2013-01-31,300340.XSHE,0.320078421,sz.300340
2013-01-31,000670.XSHE,0.319358948,sz.000670
2013-01-31,601318.XSHG,0.316454565,sh.601318
2013-01-31,300350.XSHE,0.316422482,sz.300350
2013-01-31,600579.XSHG,0.316252885,sh.600579
2013-01-31,300196.XSHE,0.315208123,sz.300196
2013-01-31,600890.XSHG,0.313223437,sh.600890
2013-01-31,600733.XSHG,0.312062708,sh.600733
2013-01-31,600421.XSHG,0.309041048,sh.600421
2013-01-31,000056.XSHE,0.308334902,sz.000056
2013-01-31,002166.XSHE,0.308210198,sz.002166
2013-01-31,300202.XSHE,0.307105543,sz.300202
2013-01-31,300197.XSHE,0.306379498,sz.300197
2013-01-31,002344.XSHE,0.304258838,sz.002344
2013-02-28,600228.XSHG,0.459023695,sh.600228
2013-02-28,000001.XSHE,0.432786887,sz.000001
2013-02-28,000068.XSHE,0.429371415,sz.000068
2013-02-28,300072.XSHE,0.383508469,sz.300072
2013-02-28,002353.XSHE,0.383049076,sz.002353
2013-02-28,000669.XSHE,0.358460134,sz.000669
2013-02-28,600816.XSHG,0.339654469,sh.600816
2013-02-28,300215.XSHE,0.338860759,sz.300215
2013-02-28,300320.XSHE,0.338067518,sz.300320
2013-02-28,002391.XSHE,0.336833301,sz.002391
2013-02-28,002318.XSHE,0.332836567,sz.002318
2013-02-28,000651.XSHE,0.332540214,sz.000651
2013-02-28,600399.XSHG,0.332190377,sh.600399
2013-02-28,600562.XSHG,0.328347815,sh.600562
2013-02-28,600385.XSHG,0.327671087,sh.600385
2013-02-28,300197.XSHE,0.32188322,sz.300197
2013-02-28,300298.XSHE,0.319570516,sz.300298
2013-02-28,000056.XSHE,0.319176252,sz.000056
2013-02-28,000826.XSHE,0.317080979,sz.000826
2013-02-28,000008.XSHE,0.316701599,sz.000008
2013-02-28,002159.XSHE,0.315712601,sz.002159
2013-02-28,002236.XSHE,0.312383634,sz.002236
2013-02-28,300288.XSHE,0.311345404,sz.300288
2013-02-28,300054.XSHE,0.311108452,sz.300054
2013-02-28,600388.XSHG,0.310767831,sh.600388
2013-02-28,002400.XSHE,0.309603112,sz.002400
2013-02-28,002635.XSHE,0.308803271,sz.002635
2013-02-28,300122.XSHE,0.308691348,sz.300122
2013-02-28,600793.XSHG,0.30845882,sh.600793
2013-02-28,300012.XSHE,0.308314977,sz.300012
2013-02-28,600537.XSHG,0.307298456,sh.600537
2013-02-28,002450.XSHE,0.306684311,sz.002450
2013-02-28,300228.XSHE,0.304675382,sz.300228
2013-02-28,600316.XSHG,0.304646535,sh.600316
2013-02-28,601888.XSHG,0.304551876,sh.601888
2013-02-28,300187.XSHE,0.304145102,sz.300187
2013-02-28,600999.XSHG,0.302810526,sh.600999
2013-02-28,002571.XSHE,0.302774889,sz.002571
2013-02-28,000562.XSHE,0.301362423,sz.000562
2013-02-28,002478.XSHE,0.300976988,sz.002478
2013-03-29,002310.XSHE,0.440848582,sz.002310
2013-03-29,300215.XSHE,0.432150535,sz.300215
2013-03-29,002635.XSHE,0.423321686,sz.002635
2013-03-29,600385.XSHG,0.404359848,sh.600385
2013-03-29,002353.XSHE,0.38315602,sz.002353
2013-03-29,002450.XSHE,0.365336405,sz.002450
2013-03-29,600678.XSHG,0.363967832,sh.600678
2013-03-29,002318.XSHE,0.363940946,sz.002318
2013-03-29,000049.XSHE,0.36194926,sz.000049
